FamilyID,FamilySize,RecordId,Name,Masters,Disciples,Partner,Incarnation,NormalizedPlaces,SpiritualRegion,Sampradaya,BirthDate,SamadhiDate,BirthYear,SamadhiYear
FAM-004,11,recwX7dFfmlq9FfAh,"Sri Motilal Mukhabadhyay, Mukarji  of Serampur ",recH8o102sJ3mQ7aT,,,,,Gaudiya Vaishnava Heartland,,1876-01-05,1945-09,1876,1945
FAM-004,11,reciPBtb5T1Js7Lqz,Sri Paramahamsa Yogananda of Gorakhpur ,recH8o102sJ3mQ7aT;recoRltXupeZas8zP,recUTlwjCvniL1hEv;recIc9E1BwdIFc4OD;recUCW4T6Le8f3ZdX,,,,Gorakh Tradition,Kriya Yoga,1893-01-05,1952-03-07,1893,1952
FAM-004,11,recLVwMPBTBcxHJG1,"Sri Sri Bhupendranath Sanyal of Puri, Orissa ",recx6n6mmw1tEEnFF,,,,,Jagannath-Puri Tradition,,01.1877,18.01.1962,1877,1962
FAM-004,11,recKFP79mZ8Fyhvao,Sri Sri Hanuman Das Babaji of Vrindavan,recoRltXupeZas8zP,,,,,Braj Mandal,Ramanandi Sampradaya,1845 ca,2013-11-14,1845,2013
FAM-004,11,recUTlwjCvniL1hEv,"Sri Swami Kriyananda of Azuga, Romania",reciPBtb5T1Js7Lqz,,,,,Global,Kriya Yoga,1926-05-19,2013-04-21,1926,2013
FAM-004,11,recH8o102sJ3mQ7aT,Sri Swami SriYukteshwar Giri of Serampur,recx6n6mmw1tEEnFF;recoRltXupeZas8zP,reciPBtb5T1Js7Lqz;rec9T6tpXGtrCWdxV;recwX7dFfmlq9FfAh,,,,Gaudiya Vaishnava Heartland; Modern Guru Centers,Kriya Yoga,1855-05-10,1936-03-09,1855,1936
FAM-005,9,recBvAIzHPy3xmzNr,Goswamis of Vrindavan ,recgLvBMiGOevOuZM,,,,,Braj Mandal,,,,,
FAM-005,9,recgLvBMiGOevOuZM,Sri Chaitanya Mahaprabhu of Puri/ Navadwip,,recBvAIzHPy3xmzNr;reczcdKSdHDeOlHdt;rec7064CikptruWW3;recCtoBgaO6q9LlU9,recwXgwhRieoQeKxm,,,Jagannath-Puri Tradition; Gaudiya Vaishnava Heartland,Gaudiya Vaishnava,1486-02-18,1534-06-14,1486,1534
FAM-005,9,rec7064CikptruWW3,Sri Gopala Bhatta Goswami of Vrindavan,recgLvBMiGOevOuZM,,,,,Braj Mandal,,,,,
FAM-005,9,rechBZw1LyW9TTX9L,Sri Hemalata Thakurani of ??? ,recJepdkXi90kdROh,,,,,West Bengal General,,,,,
FAM-005,9,reczcdKSdHDeOlHdt,Sri Jiva Goswami of Vrindavan,recgLvBMiGOevOuZM,recJepdkXi90kdROh,,,,Braj Mandal,Gaudiya Vaishnava,1511/13 ,1596/98,1511,1596
FAM-005,9,recK4u1sUzyWGtVTu,Sri Nityananda Prabhu of Navadwip,,,recgLvBMiGOevOuZM,,,Gaudiya Vaishnava Heartland,,,,,
FAM-005,9,recCtoBgaO6q9LlU9,Sri Sarvabhauma Bhattacharya of Puri,recgLvBMiGOevOuZM,,,,,Jagannath-Puri Tradition,Gaudiya Vaishnava,,,,
FAM-005,9,recJepdkXi90kdROh,Sri Srinivasa Acharya of Vrindavan ,reczcdKSdHDeOlHdt,rechBZw1LyW9TTX9L,,,,Braj Mandal,,1517-05-15,09.05.,1517,
FAM-005,9,recwXgwhRieoQeKxm,Sri Vishnupriya Devi of Navadwip ,,,recgLvBMiGOevOuZM,,,Gaudiya Vaishnava Heartland,,,,,
FAM-006,8,rec8zRjsV6xnw4mwa,Kuladananda Brahmachari of Puri,rec1cTbJ4iPAMUW0v,,,,,Jagannath-Puri Tradition,,1867 Karthik month,1930,1867,1930
FAM-006,8,rechEXrlzldl7ZpoA,Sri Mata Saroj Bala Devi of Varanasi ,,,recPw3FxLbHjXdgaD,,,Kashi Region,,,,,
FAM-006,8,recPw3FxLbHjXdgaD,Sri Sri Kiranchand  Darveshji of Varanasi ,rec1cTbJ4iPAMUW0v,,rechEXrlzldl7ZpoA,,,Kashi Region,,02.08.1878,,1878,
FAM-006,8,recsumN8i2tdC7GbV,"Sri Sri Maa Moni of Puri, Orissa (Brajadham) ",rec1cTbJ4iPAMUW0v,,,,,Jagannath-Puri Tradition,Gaudiya Vaishnava,1993,1996,1993,1996
FAM-006,8,recwXrEbirWApVteB,Sri Swami Didhishananda Saraswati of Puri ,rec1cTbJ4iPAMUW0v,,,,,Jagannath-Puri Tradition,,,,,
FAM-006,8,rec1cTbJ4iPAMUW0v,Sri Vijay Krishna Goswami of Puri ,,rec8zRjsV6xnw4mwa;recaSmpkXpqslt29K;recPw3FxLbHjXdgaD;recRZkHSnl8nDNArl;recsumN8i2tdC7GbV;recwXrEbirWApVteB,recRZkHSnl8nDNArl;recaSmpkXpqslt29K,,,Jagannath-Puri Tradition,,1841-08-02,died 22nd day of month jyestha in 1899 after poisoned jagannath laddu prasad;,1841,1899
FAM-006,8,recaSmpkXpqslt29K,Sri Yogmaya Devi of Puri/ Vrindavan,rec1cTbJ4iPAMUW0v,,rec1cTbJ4iPAMUW0v,,,Jagannath-Puri Tradition; Braj Mandal,,1852,left her body magha sukla trayodasi -day of nityanandas appearance,1852,
FAM-006,8,recRZkHSnl8nDNArl,Sri Yogmaya Devi of Puri/ Vrindavan ,rec1cTbJ4iPAMUW0v,,rec1cTbJ4iPAMUW0v,,,Jagannath-Puri Tradition; Braj Mandal,,1852,left her body magha sukla trayodasi -day of nityanandas appearance,1852,
FAM-007,8,rec6NG6MDSYvD0JT5,Sri Bala Sai Baba of Kurnool,,,,recDQE3wQ8BNrmIpR;rec9cGrqgBRNKmfQV;recKQvAzazop2jggr,,Datta & Advaita Belt,,1960-01-14,2018-11-?,1960,2018
FAM-007,8,recjqj3HtOfhT7hmY,Sri Godavari Mata,recV8xezfabpzSS0B,,,,,Maharashtra General,,24.12.1914,,1914,
FAM-007,8,recAzBZTh80FmTUJN,Sri Hazrat Babajan of Pune  ,,recGN3z8hfy3Z0qqU,,,,Modern Guru Centers,,,21.09.1931,,1931
FAM-007,8,recGN3z8hfy3Z0qqU,Sri Meher Baba of Pune  ,recAzBZTh80FmTUJN;recV8xezfabpzSS0B,,,,,Modern Guru Centers,,1894-02-25,1969-01-31,1894,1969
FAM-007,8,recKQvAzazop2jggr,Sri Sai Leela Amma of Andhra Pradesh,recDQE3wQ8BNrmIpR,,,recDQE3wQ8BNrmIpR;rec9cGrqgBRNKmfQV;rec6NG6MDSYvD0JT5,,Andhra Pradesh General,,,,,
FAM-007,8,rec9cGrqgBRNKmfQV,Sri Sathya Sai Baba of Puttaparthi,,,,recDQE3wQ8BNrmIpR;recKQvAzazop2jggr;rec6NG6MDSYvD0JT5,,Modern Saints,,1926-11-23,2011-04-24,1926,2011
FAM-007,8,recDQE3wQ8BNrmIpR,Sri Shirdi Sai Baba of Shirdi ,,recV8xezfabpzSS0B;recKQvAzazop2jggr,,rec9cGrqgBRNKmfQV;recKQvAzazop2jggr;rec6NG6MDSYvD0JT5,,Maharashtra General,,,15.10.1918,,1918
FAM-007,8,recV8xezfabpzSS0B,Sri Upasani Maharaj of Shirdi,recDQE3wQ8BNrmIpR,recjqj3HtOfhT7hmY;recGN3z8hfy3Z0qqU,,,,Maharashtra General,Advaita Vedanta,15.05.1870,24.12.1941,1870,1941
FAM-008,5,rec896V7fs1lwnSkY,Sri (Ishwar) Tota Puri Baba of Punjap/ or Puri/ - wandering monk,,reckV8sJXL5cq978J,,,,Jagannath-Puri Tradition,Satnami Puri Sampradaya,1761,,1761,
FAM-008,5,recSUU4X56pAqF1JC,Sri Lakshmi Mani Devi of Calcutta ,reckV8sJXL5cq978J,,,,,Kolkata Spiritual Sphere,,1864,1926,1864,1926
FAM-008,5,recgjan7BxjyG7CeZ,Sri Manisen of Panihati ,reckV8sJXL5cq978J,,,,,Jagannath-Puri Tradition,Gaudiya Vaishnava,,,,
FAM-008,5,reckV8sJXL5cq978J,Sri Paramahansa Ramakrishna of Calcutta,rec896V7fs1lwnSkY,recgjan7BxjyG7CeZ;recSUU4X56pAqF1JC;recqrHsjXJuayrZml,,,,Kolkata Spiritual Sphere,,1836-02-18,1886-08-16,1836,1886
FAM-008,5,recqrHsjXJuayrZml,Sri Swami Vivekananda of Calcutta & Sri Lokmanya Tilak of (from where?)  ,reckV8sJXL5cq978J,,,,,Kolkata Spiritual Sphere,,12.01.1863,04.07.1902,1863,1902
FAM-009,5,recI9vNewSjgz1HYE,Sri Akhil Brahmanand Nayika Parivajakacharya Paramahamsa Yogini Vishwamata Sadguru Om Malati Devi of Miraj,rec8qDaH8zmGtELbj,,,,,Varkari Heartland,,,,,
FAM-009,5,recyTkbGdrdvC5hto,Sri Maa Bhavamayee Paramahansa of Puri ,rec8qDaH8zmGtELbj,,,,,Jagannath-Puri Tradition,,,,,
FAM-009,5,recosc27YgiELa175,Sri Swami Chidananda Saraswati of Rishikesh,rec8qDaH8zmGtELbj,,,,,Rishikesh-Haridwar Spiritual Corridor,,1916/09/24,2008/08/28,1916,2008
FAM-009,5,rec8qDaH8zmGtELbj,Sri Swami Shivananda Saraswati of Rishikesh ,,recosc27YgiELa175;reci9mOaQMMeNqeeW;recI9vNewSjgz1HYE;recyTkbGdrdvC5hto,,,,Rishikesh-Haridwar Spiritual Corridor,,1987-09-08,1963-06-14,1987,1963
FAM-009,5,reci9mOaQMMeNqeeW,Sri Swami Vishnudevananda Saraswati of Kerala,rec8qDaH8zmGtELbj,,,,,Kerala General,Shivananda,1927-12-31,1993-11-09,1927,1993
FAM-010,5,recBVn7Vp9onOO9Bh,Sri Anandamoyi Ma of Bangladesh ,,recCIuQTzNZY1KNsQ;rec41qsOfiZMDpPHZ;recgWx4aYAekvRxg1;recSp8gOh0CJjhDej,recgWx4aYAekvRxg1,,,South Asia,,30.04.1896,1982-09-27,1896,1982
FAM-010,5,recCIuQTzNZY1KNsQ,Sri Baba Bolanath of Bangladesh,recBVn7Vp9onOO9Bh,,,,,South Asia,,,,,
FAM-010,5,recgWx4aYAekvRxg1,"Sri Ramani Mohan Chakrabarti later Bholanath of Haridwar, Dehradun, Uttharkand/ Vikrampur, UP",recBVn7Vp9onOO9Bh,,recBVn7Vp9onOO9Bh,,,Rishikesh-Haridwar Spiritual Corridor,,1909,1938-05-07,1909,1938
FAM-010,5,recSp8gOh0CJjhDej,Sri Swami Kedarnath Maharaj ,recBVn7Vp9onOO9Bh,,,,,,,,,,
FAM-010,5,rec41qsOfiZMDpPHZ,Sri Swami Shudanshu Maharaj ,recBVn7Vp9onOO9Bh,,,,,Gaudiya Vaishnava Heartland,,02.05.1955,,1955,
FAM-011,5,recABPrtD68P30Ofc,"Sri Avadoota Swami Pranavananda of ??, Andhra Pradesh",recq1Hm4YN4lo8Nfw;recnTSlt2x2pAPPAA,,,,,Andhra Pradesh General,,1888,1969,1888,1969
FAM-011,5,recHodc9GuD8FIVXk,"Sri Brahmananda ji Maharaj of (near) Nellore, Andhra Pradesh",recnTSlt2x2pAPPAA,,,,,Coastal Andhra,Ramana Maharshi,1933-03-01,2017-07-22,1933,2017
FAM-011,5,recaZAFD5zqsXXWrK,"Sri Nirvishiananda Giri of ??, Andhra Pradesh ",recnTSlt2x2pAPPAA,,,,,Andhra Pradesh General,Ramana Maharshi,,,,
FAM-011,5,recq1Hm4YN4lo8Nfw,Sri Ramana Maharishi of Arunachala,,recABPrtD68P30Ofc,,,,Shaiva Siddhanta Heartland,,30.12.1879,14.04.1950,1879,1950
FAM-011,5,recnTSlt2x2pAPPAA,Sri Ramana Maharishi of Arunachala ,,recABPrtD68P30Ofc;recHodc9GuD8FIVXk;recaZAFD5zqsXXWrK,,,,Shaiva Siddhanta Heartland,,30.12.1879,14.04.1950,1879,1950
FAM-012,5,recyQbBAPywfZ41O2,Sri Dada Godsay of Pune ,recGtVWuUclVacwiB,,,,,Modern Guru Centers,,,still alive,,
FAM-012,5,recfi9BOPvQP4SGAE,"Sri Samarth Ramdas of Sajjangad, Maharashtra",,recGtVWuUclVacwiB;recCGUZ0GOInZQ8y3;rec8ob3C56Q6tv3kb,,,,Modern Guru Centers; Samarth Ramdas Tradition,,1608,1681-02-02,1608,1681
FAM-012,5,rec8ob3C56Q6tv3kb,Sri Shivaji Maharaj of Maharashtra,recfi9BOPvQP4SGAE,,,,,Maharashtra General,,1627,1680-04-03,1627,1680
FAM-012,5,recGtVWuUclVacwiB,Sri Shridhar Swami of Varadpur ,recfi9BOPvQP4SGAE,recyQbBAPywfZ41O2,,,,Modern Guru Centers,,1908-12-07,1973-04-19,1908,1973
FAM-012,5,recCGUZ0GOInZQ8y3,"Sri Vena Bai Swami of Miraj, Kolhapur (Veena Bai) ",recfi9BOPvQP4SGAE,,,,,Varkari Heartland; Datta Sampradaya Belt,,1628,1678,1628,1678
FAM-013,4,recPsY71GwqYWDzP5,Balyogi Sri Sadanand Maharaj of Ganeshpuri,recR3GYnCgnZXfM5l,,,,,Maharashtra General,,1958-08-29,,1958,
FAM-013,4,recR3GYnCgnZXfM5l,Sri Bhagavan Nityananda of Ganeshpuri ,,recPsY71GwqYWDzP5;recdSaWxQfj3RnIDO;recAclecFyTw7dEIc,,,,Maharashtra General,,1897,1961-08-08,1897,1961
FAM-013,4,recAclecFyTw7dEIc,Sri Kuttiram Nityanand Swami of Ganeshpuri,recR3GYnCgnZXfM5l,,,,,Maharashtra General,,,,,
FAM-013,4,recdSaWxQfj3RnIDO,Sri Saligram Swami of Ganeshpuri ,recR3GYnCgnZXfM5l,,,,,Maharashtra General,,,,,
FAM-014,4,recqmLqmvvMlTI9Q0,https://sites.google.com/site/mukatanandgirimaharaj/about-us,,rec3nvB9eJa9oBCnp,,,,,,,,,
FAM-014,4,recUGf2K67AR5c59I,Sri Janardhana Giri (Swami) Maharaj of Ellora ,,rec3nvB9eJa9oBCnp;rec9kMxYCspmmByD1,,,,Maharashtra General,,1914-09-24,1989-12-10,1914,1989
FAM-014,4,rec3nvB9eJa9oBCnp,Sri Paramananda Giri Maharaj of Aurangabad,recqmLqmvvMlTI9Q0;recUGf2K67AR5c59I,,,,,Maharashtra General,,1959-05-10,Still alive ,1959,
FAM-014,4,rec9kMxYCspmmByD1,Sri Shanti Giri Maharaj of Ellora ,recUGf2K67AR5c59I,,,,,Maharashtra General,,1960,Still alive ,1960,
FAM-015,3,recoF07pYRQ2VIA3E,Mahant Sri Bhagwan Das of Vrindavan ,rec5C2z9xBit3ohbJ,,,,,Braj Mandal,,,,,
FAM-015,3,recQuv0GfFMdzTtHv,Sri Shyam Sundar ji of Vrindavan,rec5C2z9xBit3ohbJ,,,,,Braj Mandal,,,1998 c/a,,1998
FAM-015,3,rec5C2z9xBit3ohbJ,Sri Sudama Dasji Maharaj,,recQuv0GfFMdzTtHv;recoF07pYRQ2VIA3E,,,,,Ramanandi Sampradaya,,,,
FAM-016,3,recZb2o8xbSZi6An4,Nange Baba,,reckBOeFbqITjkppf,,,,,,,,,
FAM-016,3,reckBOeFbqITjkppf,"Sri Adhbhangnath Maharaj (Arjun Baba) of Dvaha Village, Hingoli ",recZb2o8xbSZi6An4;recj1Kgc42NXnBTla,,,,,Nath & Shaiva Maharashtra,,,,,
FAM-016,3,recj1Kgc42NXnBTla,Vidurdas Maharaj (Vishwanath Baba),,reckBOeFbqITjkppf,,,,,,,,,
FAM-017,3,recLsRC0bhkL9JO8E,Sri Ayodhya Dasji  Maharaj ,rec5AxgKNzgnmRgvH,,,,,,,1893,26.06.2013,1893,2013
FAM-017,3,rec5AxgKNzgnmRgvH,Sri DevRaha Baba of Vrindavan,,recLn3bLLWAWw2Q0v;recLsRC0bhkL9JO8E,,,,Braj Mandal,,,,,
FAM-017,3,recLn3bLLWAWw2Q0v,Sri Madhusudan of Bodhgaya ,rec5AxgKNzgnmRgvH,,,,,Bihar General,,,,,
FAM-018,3,reccOHbK0BcyzNftg,Sri Baba Sitaramanada Swami ,recLPboyEJSXcyDhx,,,,,,,,,,
FAM-018,3,recLPboyEJSXcyDhx,"Sri Haidakhan Babaji of Haidakhan, Uttarakhand",,reccOHbK0BcyzNftg;recMQQQzFR0cD6IZd,,,,Kumaon Saints,,N.A.,1984-02-14,,1984
FAM-018,3,recMQQQzFR0cD6IZd,Sri Mahendra Das Baba of Vrindavan,recLPboyEJSXcyDhx,,,,,Braj Mandal,,,1969-06-23,,1969
FAM-019,3,recka2nXCe1N5AZHn,Sri Bahina Bai of Shivoori,recnGc8AjeiSKvU0F,,,,,South Asia,,1629,1700,1629,1700
FAM-019,3,recAGoqcP2Mxt4alb,Sri Jaganade Maharaj of Pune ,recnGc8AjeiSKvU0F,,,,,Modern Guru Centers,Vaikari,1624-12-08,1688,1624,1688
FAM-019,3,recnGc8AjeiSKvU0F,"Sri Tukaram Maharaj of Dehru, Pune ",,recAGoqcP2Mxt4alb;recka2nXCe1N5AZHn,,,,Varkari Heartland; Modern Guru Centers,,,,,
